"Family"
"Candidatus.Woesearchaeota"
"Candidatus.Pacearchaeota"
"Candidatus.Micrarchaeota"
"Candidatus.Diapherotrites"
"Candidatus.Aenigmarchaeota"
"Nanoarchaeota"
"Candidatus.Parvarchaeota"
