Family
candidate.division.CPR1
candidate.division.CPR2
candidate.division.CPR3
candidate.division.NC10
candidate.division.WOR-3
candidate.division.WWE3
Candidatus.Abawacabacteria
Candidatus.Adlerbacteria
Candidatus.Amesbacteria
Candidatus.Aminicenantes
Candidatus.Andersenbacteria
Candidatus.Azambacteria
Candidatus.Beckwithbacteria
Candidatus.Berkelbacteria
Candidatus.Bipolaricaulota
Candidatus.Blackburnbacteria
Candidatus.Brennerbacteria
Candidatus.Buchananbacteria
Candidatus.Campbellbacteria
Candidatus.Chisholmbacteria
Candidatus.Coatesbacteria
Candidatus.Collierbacteria
Candidatus.Colwellbacteria
Candidatus.Curtissbacteria
Candidatus.Dadabacteria
Candidatus.Daviesbacteria
Candidatus.Delongbacteria
Candidatus.Desantisbacteria
Candidatus.Doudnabacteria
Candidatus.Edwardsbacteria
Candidatus.Eisenbacteria
Candidatus.Falkowbacteria
Candidatus.Firestonebacteria
Candidatus.Fischerbacteria
Candidatus.Fraserbacteria
Candidatus.Giovannonibacteria
Candidatus.Glassbacteria
Candidatus.Gottesmanbacteria
Candidatus.Gracilibacteria
Candidatus.Handelsmanbacteria
Candidatus.Harrisonbacteria
Candidatus.Jacksonbacteria
Candidatus.Jorgensenbacteria
Candidatus.Kaiserbacteria
Candidatus.Kerfeldbacteria
Candidatus.Komeilibacteria
Candidatus.Kuenenbacteria
Candidatus.Levybacteria
Candidatus.Lindowbacteria
Candidatus.Liptonbacteria
Candidatus.Lloydbacteria
Candidatus.Magasanikbacteria
Candidatus.Moranbacteria
Candidatus.Nealsonbacteria
Candidatus.Niyogibacteria
Candidatus.Nomurabacteria
Candidatus.Pacebacteria
Candidatus.Parcubacteria
Candidatus.Peregrinibacteria
Candidatus.Poribacteria
Candidatus.Portnoybacteria
Candidatus.Raymondbacteria
Candidatus.Riflebacteria
Candidatus.Roizmanbacteria
Candidatus.Rokubacteria
Candidatus.Ryanbacteria
Candidatus.Saccharibacteria
Candidatus.Schekmanbacteria
Candidatus.Shapirobacteria
Candidatus.Spechtbacteria
Candidatus.Staskawiczbacteria
Candidatus.Sungbacteria
Candidatus.Tagabacteria
Candidatus.Taylorbacteria
Candidatus.Terrybacteria
Candidatus.Uhrbacteria
Candidatus.Veblenbacteria
Candidatus.Vogelbacteria
Candidatus.Wallbacteria
Candidatus.Wildermuthbacteria
Candidatus.Wirthbacteria
Candidatus.Woesebacteria
Candidatus.Wolfebacteria
Candidatus.Woykebacteria
Candidatus.Yanofskybacteria
Candidatus.Yonathbacteria
Candidatus.Zambryskibacteria
